text,label
"""Fabinho was playing better than all 3 midfielders did in first half.""",hot_take
"""It’s time to accept Brazil is nothing special anymore. There is like 10 teams with better squads at the World Cup""",hot_take
"""Looking at guys like Ronaldo and Kaka watching over these guys, its embarrassing honestly""",reaction
"""Neymar would probably play paqueta role better than him and I am 100 percent serious.""",hot_take
"""This is his fault. The midfield is dogshit because he doesnt support them. Yeah he doesnt have 3 workhorses in their athletic prime. Do what united does with casemiro. Structure the team to let others do the running for him. Switching igor for endrick wont solve their problems""",hot_take
"""Have they ever tried Martinelli up front? At least he is a pressing monster""",hot_take
"""Play Endrick you moron""",reaction
"""Very simple solution. Play Endrick up front.""",hot_take
"""Literally play Endrick at striker, Neymar as 10, and Vini on the wing. Make sure Igor Thiago stays in reserves. 90% of your problems solved.""",hot_take
"""Has to put a more mobile midfield in there man. Casemiro and paqueta were anchors/full of mistakes. Endrick should start as well""",hot_take
"""I’m sure I’ll be downvoted because of my flair but Ancelotti is the most tactically inept “big manager” in football and has been for a while. He’s good at managing egos in big expensive squads, but almost every time he comes up against a squad of comparable quality with an actual tactician at the helm he embarrasses himself.""",hot_take
"""I think that's what Didier Deschamps' biggest strength is as a manager/coach. He was brought in not only to improve the results, but also to improve the morale and harmony of the team as a whole, cus when he came in, the team was at it's lowest since the early to mid 90s. Funnily enough, Deschamps was part of that 90s team, and some of the stuff Deschamps has done as manager does seem to resemble a bit of what Jaquet did with the 90s side, with the most notable being getting rid of problematic players (eg: Cantona in the 90s, Benzema in 2010s).""",analysis
"""Going first will always be the bigger advantage (stats show that going first is a big edge) but having both vs neither is just not an equal contest.""",analysis
"""Should have always been the rule. Having two coin tosses is stupid.""",reaction
"""PSG won both coin tosses in the CL final, it felt like a massive advantage to have both.""",reaction
"""Instead of using coins they should use a AI sports betting crypto service sponsered by Powerade, would be more in line what we fans want to see""",hot_take
"""The rule only works if there's actually teeth behind it. Telling keepers they can't take timeouts but then saying there's no card if they do it anyway is basically just asking nicely. Teams will test it immediately and once they see nothing happens, it becomes background noise. Either commit to enforcing it or don't bother.""",analysis
"""How the fuck do you know when they are actually injured or what? Are they gonna bring a fuckin x-ray out on the pitch""",reaction
"""Rule should be that the captain can pick an outfield player to go off the pitch for 1-2 minutes. So the team can weigh up whether the tactical timeout is worth it to be a man down""",hot_take
"""Allow for a temporary goalkeeper substitution. If a GK goes down with an injury they may temporarily sub in the backup GK. The 1st GK must go off and receives treatment and can come back on at the next stoppage of play. All treatment and sub should happen behind the goal. If the injury is real. The substitution counts. Yes they could game the system that way as well but GK injuries in game are not that common""",analysis
"""The data shows overwhelmingly that going first wins a penalty shootout 60 something % of the time. I’d always sacrifice the fans for that""",analysis
"""It's currently two coin tosses - first to decide the order, then to decide which goal to use. This would make it one toss, where the winner can pick whether they want to go first or which goal to use, and the loser gets to pick the other option.""",analysis
"""There’s two coin tosses now. One for side one for going first. So one team can get both advantages which is a bit unfair """,analysis
"""Nope. PSG got the chance to take first and in front of their fans in the UCL final.""",reaction
"""It’s been obvious that this is the way since forever. If you take second and in front of their fans the odds of victory are materially reduced. Separate coin tosses mean that you have a 25% chance of facing this outcome. Winner of one toss gets to pick which benefit would be so much more equal and set up for a fairer contest.""",analysis
"""This is a good change but statistically going first is quantifiably better""",analysis
"""I don't know why they don't do 122112211 type pattern. I feel like that would negate the fact that the team who shoots first wins over 55% of the time""",analysis
"""They tried it but I think ultimately it was too confusing for players and fans. It’s one of those things where fairness is sacrificed for simplicity""",analysis
"""Here me out, penalty shootouts should do a snake pattern: Team 1 shoots Team 2 shoots Team 2 shoots Team 1 shoots Team 1 shoots Etc...This minimizes the advantage a team has for shooting first""",hot_take
"""I like this. In the CL final PSG won both tosses which I feel just seems excessive to give an advantage""",reaction
"""There was. A study saying that something like 55% of the teams that go first win the shootout, a very measurable advantage, even if not a massive one.""",analysis
"""Actually why can't both teams just shoot at there end? Why is always half the stadium fucked? The only promlem I see is that the ref has to move from box to box after every pen but he should have more than enough time to casually walk""",hot_take
"""Teams are just more adaptable today. Defend in a 4-4-2, attack in a 4-2-3-1 or 4-3-3. It always varies. Sometimes teams rotate to a 3atb during games too. Its very fluid""",analysis
"""USA against Paraguay too. United States set up in a 3-2-4-1 or 3-1-3-3 in possession and picked them apart with off-ball movement.""",analysis
"""Brazil 4-4-2 is really bad, is has no attacking threat on the right and the midfield gets easily bypassed""",hot_take
"""Casemiro looks finished in a midfield two like when he was under amorim. Under carrick in a midfield 3 he looked really good. Imo Brazil need to play two of casemiro/ederson/fabinho in the pivot with Bruno as a 10 if they are going to do anything this world cup. The midfield needs to protect the defense, keep the ball and just give it to vini and raphinha. It couldn't do that against morocco""",analysis
"""Bruno as 10? Damn we're fucked""",reaction
"""Yeah basically just another midfielder just a bit more advanced than the pivot. The midfield needs to protect the defense, maintain the ball and just give the ball to vini and raphinha. It wasn't able to do all that against morocco""",analysis
"""Interesting. I think Spain should be the favorites. Or at least about as favored as France. They have a more balanced team and not much of a drop off in quality in most positions compared to France. They should also have amazing chemistry with so many Barcelona players in the squad.""",hot_take
"""Spain have a very deep squad of good footballers, and a few world class players. They're not the ""World class player in every position"" squad of 2010, but they can definitely tick.""",analysis
"""Spain have lots of injuries. France look light at full back. England don't have midfielders who can slow the game down and keep the ball when needed. Argentina's defence is old and the midfield is out of form. Portugual are voluntarily playing with 10 men. Not sure about Brazil's midfield or their attacking balance. """,analysis
"""I think france for sure, but spain and even netherlands, also portugal can't be counted out, would have said Germany too but their striker situation is kind of a mess.""",hot_take
"""As a Dutchman: you can count us out with our manager. Koeman is strategically awful, keeps selecting non-performing players and is just an all-round asshole. For example: we haven’t won against a top 10 country in the entire four years of his entire second reign. And he keeps selecting Memphis Depay and playing him in his starting XI, despite him failing us for three tournaments in a row. At one point the Dutch equivalent of the Onion has an article titled: Country that aims for World Championships puts hope in injured player of the number 15 of the Brazilian League.""",analysis
"""Other than the favs? Brazil, Argentina, France, England, Germany, Spain....My dark horses. Norway US Japan. Don't sleep on African countries, Gahna Senagal Ivory cost""",hot_take
"""Pure strength and tachically capable? England, 100%. Buts its England we are talking about so the will loose to some SA nation or some dark horse earlier than any betting market can fathom :)""",hot_take
"""I think there’s a lot of reasons for Brazil’s issues, and I I agree, they’ve recently begun to really emphasize building a team around one player - Neymar.IMO it’s just lazy coaching by the coaches or probably a mix of not putting the right players who can play together as a unit.I also think they’ve gotten away from playing a fun game.Brazil in 02 was a masterpiece because everyone of those players showed up to work hard and play hard and entertain.I think their joy and trust in each other just made a solid team.I also think you had so many superstars with some really solid leaders who balanced each other out.Ronaldo in his later playing days was criticized for being a bit lazy and he kinda was but he could put that ball in the next like crazy and his teammates hauled ass for him.I think they overrelied on Neymar who I will say I never questioned his effort for his country. I think he worked hard but I also think he has a crazy amount of talent.It’s a shame the team couldn’t give him more elite players to play with, I think him having to make all the players killed his scoring chances and really shifted his game in a way where I think he could be more natural if they did it right.""",hot_take
"""I’ve watched Brazil on the World Cups since Italy in ‘90, although I remember more clearly from ‘94 onward. I did watch Copa America and a couple of the qualifier games, specially after Ancelotti. All of the recent friendlies too.The squad in ‘02 was great defensively, but I don’t think that it won only because it defended well and played on counterattack or something like that, rather you had such a fantastic play on the attack that made the difference. The team had chemistry, but it wasn’t a tactical masterpiece. I don’t remember seeing Brazil play like Belgium did in 18 or Germany in 14, for example.I didn’t say that Brazil is currently bad, and I mentioned that Ancelotti just started training the team. I also didn’t say that the tactic is around Vini because I think he’s a great player on Real Madrid or something, I’m saying that the whole squad is heavily shifted to the left. If you watch a game on the stadium you’ll understand what I meant by that.Funny how you’re assuming things based on your misunderstanding of the post.""",analysis
"""Belgium in 2018 was a tactical masterpiece for you? Belgium was actually the team that relied on Individual performances in the game against Japan and Brazil. They didn't showed such tactical superiority at any point in that tournament and are only remembered for being a golden generation of players(that didn't win anything by the way).And you do mention in your original post that we always played the way we are playing now ""heavily leaning on the left, hoping that someone will do their thing"". it's literally on the original post""",analysis
"""I happened to think along similar lines myself recently. It seems they have underperformed at the WC for quite a few editions now. Always touted as a big team due to their past glories and rich history but realistically not quite up to the task. I've seen some people say they'll win it this year but I didn't see that even before the Morocco game. Perhaps another quarter final exit for Brazil.""",hot_take
"""Brazil always won when it had at least 2 superstars on the squad, and one had to be a play maker. This squad has one superstar (Vini Jr) and one excellent finisher who is subpar on the ball (Raphinha). Everyone else is just ok. Brazil is not winning this world cup.""",analysis
"""Neymar is very good if he’s healthy, but that’s a big if.""",hot_take
"""i half agree, but always is doing too much work here. brazil always had ridiculous individual quality, but the best teams still had structure and nasty balance players around it. as a morocco fan, what stood out in that match wasnt just vini producing a moment. it was how much space brazil left behind the first press and how easy it was for morocco to turn after winning second balls. when that happens, the attackers look like the whole plan because the midfield isnt controlling the game. the old brazil sides could survive on genius, sure, but they also had adults killing games in the middle. dunga in 94, gilberto silva in 02, casemiro when he was at his best. the current side feels like it has stars and runners, but not enough glue. so yeah, lately it does look like “give it to the winger and pray.” i just wouldnt call that the brazil tradition. it feels more like a balance problem being mistaken for a national identity""",analysis
"""They relied on individual talent but back then they had more humbled, team oriented and team chemistry filled teams compared to the culture nowadays""",hot_take
"""I've been saying this countless times to people but no apparently idiots thinks there's a ""conspiracy"" about it because Scotland won, though this isn't the first time we Scots have seen horrendous excuses because we another nation at football, Denmark's manager moaned about ""we're better than them on paper"" after Scotland won 4-2 and then there's was the time one of the Spanish football team squad complained about the grass and the rain at Hampden when we beat them 2-0""",reaction
"""For the game they played, Cape Verde only having one foul is incredible""",reaction
"""Cape Verde put on a defensive masterclass""",reaction
"""Cape verde had a defensive masterclass. Some of the blocks and tackles the players were making in the box, my god they were top draw""",reaction
"""Not suprised for France and Senegal. Ref let the game go flow freely""",reaction
"""The ref thought he was an old fashioned New York cop directing traffic using his whistle.""",reaction
"""Most surprised with Germany! 16 fouls in a match Ch they dominated and won with 7 goals? Didn't watch the match, obviously, so I'm wondering how did that happen?""",reaction
"""Would be interesting to see each team next to the team they played against to see who was actually committing more / less fouls taking into account they had the same referee. The Scotland Haiti count seems more to do with the referee who got a shiny new whistle at the start of the tournament.""",analysis
"""Uruguay is surprisingly low """,reaction
"""woohoo 3rd lowest fouls per capita. Go NZ!""",reaction
"""how the fk is Uruguay on only 6 fouls""",reaction
"""So Cape Verde didn’t even have to kick the shit out of Spain to get that draw. Respect.""",reaction
"""44 fouls in the Haiti Scotland match..glad that was one of the few I missed""",reaction
"""That match was very entertaining, that fact that it was still watchable after that whistle happy ref is a testament to how good Haiti played""",reaction
"""This again shows how evenly matched Japan-Netherlands were""",reaction
"""Just quietly still reveling in Türkiye's loss""",reaction
"""Lol that Scotland vs Haiti match was so stop start and dirty""",reaction
"""Worst officiating is a tossup between the Scotland v Haiti (referree by CAF) or Belgium v Egypt (referree by CONMEBOL). Scotland played outrageously as did Belgium and Egypt which should have earned them at least two reds. I thought the funniest fouling game was the South Africa v Mexico opener where it was a red card party. I thought the dirtiest game was the Belgium v Egypt where the foul calls were deserved.""",analysis
"""There are basically no truly underrated teams. Spain entered the tournament as equal favorites with France, none of the other powerhouses are underrated, and no one is (or at least should be) surprised when teams like Morocco or Japan play well""",hot_take
"""Dude, Spain was the 24 European champion…""",reaction
"""God please let Argentina win the 2026 FIFA world cup. """,reaction
"""I think they are doing fine and performed as expected, apart from Spain and maybe Portugal, who will still very likely qualify""",hot_take
"""also from the games I saw England, France, Germany, Sweden were very convincing. Netherlands also good""",hot_take
"""I mean to be fair to other teams, it's not just a case of big teams struggling to mesh, the smaller teams have gotten a lot better. But the reality is a lot of the bigger teams are not what they used to be, Italy no longer really has stars like they did in the 1990s - 2006s where they were dominant. Spain lacks the finishing quality, Argentina and Brazil are basically hoping that Messi or Neymar pulls out something magic. In the 90s both Argentina and Brazil had a very beautiful style of playing very different to each other this doesn't exist any more. Netherlands is a shadow of it's former self that scary team with the likes of Robben, Sneijder are all gone or Edgar Davids Bergkamp, in my opinion their best days are gone. France, Portugal are probably the two favourite to actually win this from the bigger countries, Germany is more of a dark horse.""",analysis
"""England will always be England, I picked them to win for the first time ever in a world cup, on paper they have the star power to win it all, but they also have a very good record of choking at quarters/semis, regardless of which teams are there. I picked them because well Portugal is an easy go to, same with France and my favourite team like I said before is a shadow of it's glory days in Italy (to be fair I wouldn't have supported them even if they qualified).""",hot_take
"""The weaknesses in Conmebol qualifying are showing up. Brazil has been a shell of itself for years relying entirely on individual brilliance, Chile/Peru are trotting out retirement teams, Colombia is on its way there, and Uruguay is very hot and cold.These deficiencies lead to disjointed offenses that bunkering team like Ecuador and Paraguay can smother on their way to qualification.Now that they’re playing teams who have had a month to develop chemistry they’re getting exposed. The USA and Ivory Coast bulldozed going forward against the defensive darlings.On the European side it feels more like they aren’t trying as hard as their competition coupled with struggling to deal with the increase in size/athleticism. They also can’t deal with the heat despite it being very mild so far, in 2 weeks these teams will be dying despite having a full week between matches.""",analysis
"""It's probably best to wait for the first set of games to finish first. Germany and Sweden smashed their first games and England, France and Portugal havnt played yet. After the first round of games it will be interesting to see the lay of the land""",reaction
"""The rest of the world is getting better, but I suspect certain teams actually train together more often. I suspect that European and South American teams will improve over time as they get minutes together.""",hot_take
"""They are not spending all they got in the first rounds. Its more of a control game, grinding it out. Other nations cant really afford that they have to defend or rush to score and that makes the control team even more ""controlly"". Eventually the 10 man defence line breaks, the teams that has no team balance gets weeded out and thats when the magic begins.""",analysis
"""In addition to what everyone else has said and made good points with the rest of the world are cating up and producing some amazing players, but when I went through the games in my head I think its not as bad as some believe Germany, Sweden had big wins, Scotland also won, Holland had a very tough Japan to play and so did Czechia with South Korea, Bosnia if they attacked more could of had us beat before first half but decided to defend a 1 goal advantage, Australia are also a good team and feel that game could have gone either way before Kick off.Yeah Spain, Belgium and Switzerland I can see your point, Spain I guess it wasn't their day which can happen to teams, Switzerland dominated but was undone but a good last min header, Belgium i didn't see most of it but from what I did see they were on top and had good chances, but Egypt are not a bad team either with also some very good players so not surprised as much.My point of breaking it down is I feel some are overreacting (Not saying you are, just in general) with the European teams, Spain really is the one where I would think fucking hell that is outrageous, but at the same time teams have lost their first games against lesser nations in the past and won the whole thing so I just feel Spain's result today was about great defending from Cape Verde, Nico and Yamal will 100% improve the team""",analysis
"""I would say that only judging by the first game is not a good idea, it is too early to tell.Also, expanded qualification possibilities makes me think a lot of teams think they'll qualify either way so they are not taking things too seriously yet. Let's see what happens when everyone finishes their first games. They'll start doing their math and probably try harder in their second and third games because after eveyone plays their first game each team will see how likely at risk they are of getting eliminated if they don't give it their 100%.""",analysis
"""I think so far UEFA and CONMEBOL teams have either underestimated their opponents or are relying on tactics that are easily exposed by teams that play differently.For Czechia and Bosnia, both teams played similarly, relying on their physical strength and defensive setups. While Canada took some time to finally equalize, they also weren't very clinical in front of goal, and could've easily scored another two or three goals. Bosnia largely sat back and did not look to take more chances. Czechia relied heavily on their height and set pieces (both of Bosnia and Czechia's goals were scored off set pieces), but really didn't give Korea a huge challenge with creating non-set piece chances. Korea is also technically a much better team. Tbf, both of these UEFA teams barely made the World Cup, so they aren't necessarily the best of the best.Paraguay was simply outplayed in almost every aspect. I think people like to criticize the US only because they're the US, but the Americans played very well and were clearly the better team. People just need to realize that the US is probably better than they think.For the cases of the Swiss, the Turks, the Spanish, and the Belgians, I felt like all these teams underestimated their opponents. The AFC and AFCON are stronger than people think. While I think Switzerland, Turkiye, and Belgium are maybe not the best UEFA teams, they still have very strong teams and can make a good run into the knockout stages, and should be beating Qatar, Australia, and Egypt. Qatar kept pushing and scored late, and I think that was due to the Swiss falling asleep and keeping their guard down because ""Oh they're only Qatar, what can they do."" Tbf to the Turks, Australia did park the bus once they took the lead, but they also took advantage of their chances. It's also Turkiye's first World Cup appearance in over two decades, so it's possible there were some nerves, but with the players they have, one would think they should be beating Australia. Egypt also has great talent, and I think Belgium overlooked this. It wasn't until they made subs that they forced an OG, but Belgium's golden generation is definitely fading. On the other hand, not trying to discredit Cape Verde, but there is no excuse for Spain. They absolutely should be beating Cape Verde, and their performance was shocking. Spain didn't play with a ton of urgency until they brought on Lamine and Williams, which are two players they really shouldn't even be playing to begin with against Cape Verde. Hats off to Cape Verde, though.Ecuador, the Netherlands, Brazil, and Uruguay played teams that are simply stronger than people think. Japan was relentless, and is the best team in the AFC, and while I believe the Dutch should've won, Japan is a team more than capable of reaching the Round of 16. Same case with Morocco and Brazil. Morocco is a very good team and people have taken notice. Brazil and Uruguay are also not what they once were. Brazil is much more high profile, so people know about how they haven't been performing, but Uruguay were grouped in 2022, and no longer have Suarez and Cavani to rely on. These two are simply not as good as they once were. Ecuador looked evenly matched against the Ivory Coast, and I honestly think it was just a battle of who wanted it more. Both teams were unlucky with hitting the woodwork multiple times, but the Ivory Coast thrashed Korea 4-0, beat Scotland and France by a goal in their warm-up games; this is a team that is underrated.It's a mix of underestimation by UEFA and CONMEBOL, some teams (Brazil and Uruguay for example) not being as good as they once were, and other teams just being stronger tactically than in the past and people are only starting to take notice (like Korea and USA)""",analysis
"""I don't think it's understimation. It's just a lack of passion and energy. Asian & concacaf teams have pride and passion and want to show the world they are good too. Uefa & conmebol don't have to prove anything anymore and think they will make the difference based on talent but it doesn't work like that.""",hot_take
"""South America is very overrated. This is probably the worst Brazil team ever. Argentina is worse than last World Cup and arguably not a top 5 team. Uruguay is not that good. Ecuador is good defensively but limited going forward. Colombia is solid but by no means elite. Paraguay is also very average.""",hot_take
"""A lot of the players from the bigger countries play a lot of games during the season. For example, if you’re on an EPL team in England, between the league, FA Cup, Carabao Cup, and Champions league games, you could easily play 50+ games a season. And then the WC on top of that.""",analysis
"""But most of the players from Asia and Africa play in Europe too so it doesn't make a lot of difference. Plus I'm sure they play a lot of games aswell.""",hot_take
"""This Argument is always used when Wildcards playoffs come along in other sports (Baseball/Football etc..). The counter argument when they do get the break and lose ""The momentum was cut off"". Just like you see people complaining about the Hydration breaks in the WC.""",hot_take
"""It’s nothing new; it’s the first round. Argentina lost their first match against Saudi Arabia in the last WC. Germany, Spain, and Portugal also lost.Most players finished their club seasons 2-3 weeks ago, and national teams have been practicing together for about 2 weeks. Good teams will get better as the tournament goes on.""",analysis
"""Just because a team is from those two confederations doesn't guarantee them success, indeed some of these teams were already performing badly in the pre tournament friendlies. Some of them were underperforming ever since the qualifiers.Also, a lack of urgency. Spain today waited until the last minutes to substitute in Yamal and Williams, and before that were content with just passing the ball around.""",analysis
"""No chance.We used to hear this about Belgium for the entire 2010’s and they had a way better squad than this.To win a World Cup you need depth, impact subs & no glaring weakness.With Belgium 2010-2022 it was their full backs (they had none) and with this team it’s their whole lack of width. They have 2 good strikers and that’s about it.""",analysis
"""Croatia had borderline couple superstar s 2018( Mandzukic, Rakitić) and 2022(Gvardiol, Kovačić) alongside Modrić plus a lot of luck on draw 201i and 2022 with Lukaku clear cut misses and penalties again with Livaković brillianxe versus Brasil.. Croatia was already proven strong National team with plenty players who winning biggest UEFA competitions every year, being clutch and scorers in final games there """,analysis
"""The interesting thing about Norway is that if you took only Haaland's goals, Norway would have qualified for the World Cup. If you exclude Haaland's goals, Norway would have also qualified for the World Cup. I think that's pretty insane.""",analysis
"""Yeah, agreed. Yeah they have Haaland and Oedegaard... but Haaland has had a shocking 2026 so far (only 10 goals in 20+ matches, in a City team built around him), Oodegard has been injured most of the season and is super out of form... and who else do they have? No one anyone has heard of! I suspect they'll crash out in the group stage.""",analysis
"""It depends what you mean by ""coming through"". The youth teams have the best crop of 9s we've had in a very long time. Shim Mheuka has already made his debut at Chelsea and Brian Madjo has scored goals at senior level at the age of 16.I'd imagine there'll be more making senior debuts next season too. Chizzy Ezenwata is very close and Harry Gray has just had a really good EFL loan too.I'm also sceptical that the quality of your centre forward is what dictates success at senior international level.In the entire time we've had Harry Kane up top we've been knocked out of tournaments by Mario Mandzukic, Ciro Immobile, Olivier Giroud, Alvaro Morata and whoever the hell Iceland had up top.Goalscoring wingers and 10s are arguably the players who decide tournaments these days. Midfield balance is massively impactful too""",analysis
"""funny you mention chizzy as i know someone who's friends with him! i would also like to say that whilst strikers may not always be no1, if you look at previous tornaments, kane has been a v.key player for us, in wc 2018 (against tunisia, for example, albeit mostly in the group stage), euro 2021 he was for sure our best player along with pickford, and wc 2022 was also important, despite his miss against france, euro 2024 not as much but looking at his form, it'll likely be something similar to euro 2021, i reckon also, spain won in 2010 with someone like david villa, and germany 2014 had klose as well, maybe in more recent tournaments a no9 hasn't been as important, but you can't deny there's been cases where they have importance""",analysis
"""I definitely don't dispute that having a good striker is important, I just don't think that our future success is going hinge on whether or not another striker as good as him comes through the ranks.You can easily make do with a striker who isn't world class. It all depends what the makeup of the team is and where the quality is. A striker's main role can be to amplify other attackers around them.We need more forward quality post-Kane but that doesn't have to be a number 9. We've relied on Kane so much because we've produced so few top forwards recently. I'm also not sure Kane was the best player at Euro 2021. I think he struggled in most games. Sterling (who's incidentally the only other top forward we've had since Rooney) was the man in that tournament""",analysis
"""They're all functional strikers who played a specific (and important) role but were nowhere close to the main man in their team, and we already have several players who could play that role.Giroud and Morata at their peak were no better than Ollie Watkins. Morata never scored more than 15 goals in a league campaign and Giroud rarely scored more than that either.We need more attackers to come through with or without Kane. Our biggest problem is our lack of quality on the flanks outside of Saka, who may or may not be on the decline physically (too early to tell).""",analysis
"""Nobody is shading Giroud. He played a role for France and was useful in helping bring the best out of those around him but France did not win the World Cup because of Giroud.Giroud is France's all-time top scorer because he's played so many games and scored against so many average teams. His scoring rate is sub elite.Memphis Depay is the Netherlands' all-time top scorer with a similar number of goals in way, way fewer games. That means very little.""",analysis
"""I guess I'm taking issue with your focus on scoring rate. That is not the sole metric with which to judge strikers - particularly with the way the game is evolving over the last 10 or so years.I absolutely agree that France didnt win the world cup because or Giroud. Equally, I think they'd have struggled to win without him leading the line in the way that he did. Those two things are not contradictory.He played every game and that attack may well not have clicked in the way it did, without his ability to link it all together - something that is missed when solely considering scoring rates or even g/a data.To say, at his peak, he was no better than Watkins is wild imo. And that's not because I don't think Watkins is quality, but he's not delivered at the same level.""",analysis
